"X","FIPS","STNAME","CTYNAME","RNETMIG2013","RNETMIG2014","RNETMIG2015","RNETMIG2016","elec12","elec16","elec18","elect14to16","medAge16","medAge12","pct_for_born15","pct_bach_deg15","pct_non_white15","pct_unemp12","pct_unemp16","votes_gop_16","votes_dem_16","votes_total_16","repratio","State...County.Name","Poverty","MedianIncome"
1,8001,"Colorado","Adams County",10.848813861,11.877004402,12.397132532,6.4468052622,17.3706261596,41.5697560572,11.2657590929,16.8781147632,33.6,32.8,15.06,22.22,17.18,8.6,3.3,73807,86471,175125,42.1453247680228,"Adams County (CO)",11.7,"$65,442"
2,8003,"Colorado","Alamosa County",1.8577001672,-5.921722234,0.8606381017,5.4919908467,-1.7101170173,2.2886068816,3.4956956017,-0.4914159943,30.3,30.8,7.15,25.49,12.97,9.3,3.6,3031,3168,6897,43.9466434681746,"Alamosa County (CO)",24.8,"$37,057"
3,8005,"Colorado","Arapahoe County",12.476007678,10.039062532,11.8997787,5.863499127,22.036425546,40.278348037,7.8420875467,11.9123643739,36.4,36.1,14.79,40.06,26.93,7.1,3,109638,148365,281658,38.9259314487783,"Arapahoe County (CO)",9,"$70,866"
4,8007,"Colorado","Archuleta County",5.7492505441,0.2453887367,11.613741574,32.269573835,-1.1009240467,49.8779546898,64.024002873,32.024185098,50.5,49.6,5.27,35,12.63,8.9,3,4234,2489,7290,58.079561042524,"Archuleta County (CO)",12,"$51,998"
5,8009,"Colorado","Baca County",-15.99349417,-16.29159188,-2.240896359,0.8473379466,-8.5553952888,-33.6786444624,15.4428988818,-15.4442539334,47,47,2.57,18.96,4.24,4.3,1.9,1716,278,2107,81.4428096820123,"Baca County (CO)",20.2,"$34,070"
6,8011,"Colorado","Bent County",-9.850514128,9.3668690373,18.348623853,-37.31343284,-110.03565868,-19.4484540777,46.467190697,-27.9465638027,41.6,40.8,6.99,6.96,16.17,7.8,2.6,1166,581,1892,61.6279069767442,"Bent County (CO)",34.1,"$33,951"
7,8013,"Colorado","Boulder County",10.957889746,5.9402288528,15.045701556,7.3118051681,22.807667138,39.2556253229,5.8064226239,10.1439985142,36.2,35.7,10.67,58.9,11.6,5.8,2.5,38766,124715,176735,21.9345347554248,"Boulder County (CO)",10.8,"$74,772"
8,8014,"Colorado","Broomfield County",13.902881322,20.341541036,43.103652517,19.431965278,34.665602911,96.780040153,30.947624542,38.395530953,37.7,37.1,9.52,51.87,13.25,6.1,2.8,14272,19530,37342,38.2196989984468,"Broomfield County (CO)",5.3,"$86,870"
9,8015,"Colorado","Chaffee County",14.735285256,6.5741218657,11.119207622,28.708641779,19.7427313182,61.1372565227,50.367310229,35.3370952304,48.3,48.3,2.63,34.05,6.14,6.1,2.6,5283,4773,10999,48.0316392399309,"Chaffee County (CO)",11.4,"$49,877"
10,8017,"Colorado","Cheyenne County",-1.066666667,-24.16756176,-15.24639259,9.7932535365,15.702541035,-30.6873674805,8.5847954769,-17.0595928635,41.1,41.3,5.34,22.47,3.7,4.2,2.6,905,127,1076,84.1078066914498,"Cheyenne County (CO)",14,"$50,558"
11,8019,"Colorado","Clear Creek County",-0.554908163,9.0472775418,13.405264018,10.434034314,-11.40437736,32.3316677108,22.0555781556,16.943660838,47.9,47.9,3.6,41.49,5.99,6.4,3,2426,2585,5532,43.8539407086045,"Clear Creek County (CO)",8.1,"$68,699"
12,8021,"Colorado","Conejos County",-6.687336616,-2.555832776,-23.18733898,-3.224606226,-14.735083681,-35.655114598,12.4312340481,-6.267264292,38.9,38.5,3.22,19.48,8.34,9,3.9,1885,1753,3970,47.4811083123426,"Conejos County (CO)",22.7,"$34,390"
13,8023,"Colorado","Costilla County",-13.15053162,10.693682285,5.3213835597,37.398597553,22.391061679,40.2631317777,30.293039777,45.8409783044,50.2,49.4,7.29,17.91,7.04,9.7,4.2,581,1109,1820,31.9230769230769,"Costilla County (CO)",30.4,"$27,211"
